feature_signature,feature_set,league,validation_season,train_seasons,train_matches,validation_matches,base_feature_count,log_loss,brier_score,accuracy,baseline_log_loss,baseline_brier_score,log_loss_delta,brier_delta
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,portugal,2022-23,2020-21;2021-22,477,240,8,1.0029865914356704,0.5833675888548367,0.5375,0.9264125568843918,0.5413254644388367,0.07657403455127854,0.04204212441600008
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,scotland,2022-23,2020-21;2021-22,456,226,8,0.9187275331767174,0.5406977227376976,0.5973451327433629,0.8922513432577722,0.5209108259524217,0.02647618991894518,0.019786896785275898
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,turkey,2022-23,2020-21;2021-22,679,277,8,1.1842914029448621,0.6460031122891774,0.5379061371841155,1.0109009899979697,0.6040234982906969,0.1733904129468924,0.04197961399848049
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,belgium,2023-24,2020-21;2021-22;2022-23,873,312,8,1.1530639460912435,0.6324547155636313,0.5160256410256411,1.0013902654798221,0.5968977069661953,0.1516736806114214,0.035557008597436046
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,netherlands,2023-24,2020-21;2021-22;2022-23,850,306,8,0.9308389470824688,0.5532303239013113,0.5522875816993464,0.9362458767235576,0.5558519147774328,-0.005406929641088798,-0.00262159087612146
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,portugal,2023-24,2020-21;2021-22;2022-23,717,64,8,0.837091179998501,0.4822332780447983,0.65625,0.8504730910418652,0.4909985983368065,-0.01338191104336417,-0.00876532029200816
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,scotland,2023-24,2020-21;2021-22;2022-23,682,212,8,0.9646209060976146,0.57284970883248,0.5188679245283019,0.9470891943684686,0.5599571691785574,0.017531711729146027,0.012892539653922563
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,turkey,2023-24,2020-21;2021-22;2022-23,956,339,8,0.9992767423855077,0.5948342523682572,0.504424778761062,0.9877503766288129,0.5866877376266167,0.011526365756694745,0.00814651474164041
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,belgium,2024-25,2020-21;2021-22;2022-23;2023-24,1185,309,8,1.1053148535341846,0.6679410224019745,0.4368932038834951,1.0210319063819453,0.6110196844727422,0.08428294715223927,0.05692133792923226
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,netherlands,2024-25,2020-21;2021-22;2022-23;2023-24,1156,303,8,0.9785602447519461,0.5826799593374578,0.5313531353135313,0.9733297625102274,0.5815499995050698,0.005230482241718737,0.00112995983238795
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,portugal,2024-25,2020-21;2021-22;2022-23;2023-24,781,219,8,1.1691451122609333,0.6992608035324825,0.4155251141552511,0.9784602195399043,0.5819002973102524,0.19068489272102906,0.11736050622223015
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,scotland,2024-25,2020-21;2021-22;2022-23;2023-24,894,227,8,0.9896195196262046,0.5884189625701896,0.5374449339207048,0.9708563441267432,0.5766148793072842,0.018763175499461493,0.011804083262905385
attack_goal_rate_ewm|defence_goal_rate_ewm|elo_difference|elo_expected_result|elo_rating|expected_goals_strength|opponent_elo_rating|prior_team_matches,team_strength,turkey,2024-25,2020-21;2021-22;2022-23;2023-24,1295,269,8,0.9358026086484101,0.5524004682502482,0.5762081784386617,0.9536273475763217,0.5662048951342988,-0.017824738927911588,-0.013804426884050591
